fiscalDateEnding,fiscalYear,fiscalQuarter,reportedDate,reportTime,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalRevenue,grossProfit,costOfRevenue,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,totalLiabilities,totalCurrentLiabilities,totalShareholderEquity,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,dividendPayout,freeCashFlow,priceDate_before,close_unadj_before,close_split_adj_before,close_full_adj_before,priceDate_release,close_unadj_release,close_split_adj_release,close_full_adj_release,priceDate_after,close_unadj_after,close_split_adj_after,close_full_adj_after,market_reaction_return_1d,market_reaction_type,return_close_before_to_after
1999-04-30,1999,Q1,1999-05-18,pre-market,0.002,0.001,0.001,100.0,,,,,,,,,,,,,,,,,,,,,1999-05-17,18.875039219856262,0.039322998374700546,0.03600874915719032,1999-05-18,19.75007951259613,0.04114599898457527,0.03767811134457588,1999-05-19,18.875039219856262,0.039322998374700546,0.03600874915719032,0.0,Unspecified (Next Day Close vs Prev Close),0.0
1999-07-31,1999,Q2,1999-08-18,pre-market,0.002,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1999-08-17,21.875039935112,0.045572999864816666,0.04173197224736214,1999-08-18,22.375200390815735,0.04661500081419945,0.04268617555499077,1999-08-19,27.12480068206787,0.05651000142097473,0.05174720287322998,0.23998939150307957,Unspecified (Next Day Close vs Prev Close),0.23998939150307957
1999-10-31,1999,Q3,1999-11-18,pre-market,0.001,0.002,-0.001,-50.0,,,,,,,,,,,,,,,,,,,,,1999-11-17,35.6875205039978,0.07434900104999542,0.06808268278837204,1999-11-18,35.812318325042725,0.07460899651050568,0.06832078844308853,1999-11-19,42.87503957748413,0.0893229991197586,0.08179464936256409,0.20140167826250727,Unspecified (Next Day Close vs Prev Close),0.20140167826250727
2000-01-31,2000,Q4,2000-02-15,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2000-02-14,57.99984097480774,0.12083300203084946,0.11064892262220383,2000-02-15,55.75007915496826,0.11614599823951721,0.10635693371295929,2000-02-16,58.312318325042725,0.12148399651050568,0.11124502867460251,0.005387364271354067,Unspecified (Next Day Close vs Prev Close),0.005387364271354067
2000-04-30,2000,Q1,2000-05-16,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2000-05-15,85.24992227554321,0.17760400474071503,0.16263513267040253,2000-05-16,93.99983882904053,0.1958329975605011,0.17932772636413574,2000-05-17,110.49983739852905,0.23020799458026886,0.2108054906129837,0.29618666736789,Unspecified (Next Day Close vs Prev Close),0.29618666736789
2000-07-31,2000,Q2,2000-08-21,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2000-08-18,76.99991941452026,0.3208329975605011,0.2937924265861511,2000-08-21,78.18743705749512,0.325780987739563,0.2983233630657196,2000-08-22,70.81247806549072,0.2950519919395447,0.27018415927886963,-0.08035696352560215,Unspecified (Next Day Close vs Prev Close),-0.08035696352560215
2000-10-31,2000,Q3,2000-11-09,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2000-11-08,69.4375205039978,0.28932300209999084,0.2649381756782532,2000-11-09,62.187602519989014,0.2591150104999542,0.2372761070728302,2000-11-10,58.81247878074646,0.24505199491977692,0.2243984043598175,-0.153015967648498,Unspecified (Next Day Close vs Prev Close),-0.153015967648498
2001-01-31,2001,Q4,2001-02-15,pre-market,0.001,0.002,-0.001,-50.0,,,,,,,,,,,,,,,,,,,,,2001-02-14,47.687519788742065,0.1986979991197586,0.18195129930973053,2001-02-15,56.437439918518066,0.23515599966049194,0.21533647179603577,2001-02-16,59.50007915496826,0.24791699647903442,0.2270219326019287,0.24770712527573502,Unspecified (Next Day Close vs Prev Close),0.24770712527573502
2001-04-30,2001,Q1,2001-05-22,pre-market,0.002,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2001-05-21,90.19992113113403,0.37583300471305847,0.344156950712204,2001-05-22,92.89991855621338,0.3870829939842224,0.35445863008499146,2001-05-23,92.11008310317993,0.3837920129299164,0.35144510865211487,0.02117684366051203,Unspecified (Next Day Close vs Prev Close),0.02117684366051203
2001-07-31,2001,Q2,2001-08-14,pre-market,0.002,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2001-08-13,88.18991661071777,0.3674579858779907,0.3364877998828888,2001-08-14,85.84992170333862,0.35770800709724426,0.32755959033966064,2001-08-15,85.9500002861023,0.3581250011920929,0.32794132828712463,-0.025399053394324175,Unspecified (Next Day Close vs Prev Close),-0.025399053394324175
2001-10-31,2001,Q3,2001-11-08,pre-market,0.002,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2001-11-07,50.63003897666931,0.42191699147224426,0.38635677099227905,2001-11-08,49.74995970726013,0.4145829975605011,0.37964096665382385,2001-11-09,53.19995999336243,0.4433329999446869,0.4059677720069885,0.05075878692210464,Unspecified (Next Day Close vs Prev Close),0.05075878692210464
2002-01-31,2002,Q4,2002-02-14,pre-market,0.004,0.003,0.001,33.3333,,,,,,,,,,,,,,,,,,,,,2002-02-13,61.400041580200195,0.511667013168335,0.46854251623153687,2002-02-14,62.160000801086426,0.5180000066757202,0.4743417203426361,2002-02-15,57.350038290023804,0.47791698575019836,0.43763700127601624,-0.06596096167342952,Unspecified (Next Day Close vs Prev Close),-0.06596096167342952
2002-04-30,2002,Q1,2002-05-22,pre-market,0.004,0.004,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2002-05-21,36.56999945640564,0.304749995470047,0.27906501293182373,2002-05-22,38.049960136413574,0.3170830011367798,0.29035845398902893,2002-05-23,35.72999954223633,0.29774999618530273,0.27265486121177673,-0.022970101671659617,Unspecified (Next Day Close vs Prev Close),-0.022970101671659617
2002-07-31,2002,Q2,2002-08-15,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2002-08-14,9.620040357112885,0.0801670029759407,0.07341032475233078,2002-08-15,10.289999842643738,0.08574999868869781,0.07852278649806976,2002-08-16,10.68996012210846,0.0890830010175705,0.08157485723495483,0.11121776821134183,Unspecified (Next Day Close vs Prev Close),0.11121776821134183
2002-10-31,2002,Q3,2002-11-07,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2002-11-06,16.179959177970886,0.13483299314975739,0.12346893548965454,2002-11-07,14.550000429153442,0.12125000357627869,0.11103077232837677,2002-11-08,11.360040307044983,0.09466700255870819,0.08668825775384903,-0.2978941835850473,Unspecified (Next Day Close vs Prev Close),-0.2978941835850473
2003-01-31,2003,Q4,2003-02-13,pre-market,0.001,0.002,-0.001,-50.0,,,,,,,,,,,,,,,,,,,,,2003-02-12,9.749999642372131,0.08124999701976776,0.07440206408500671,2003-02-13,9.869999885559082,0.08224999904632568,0.07531777769327164,2003-02-14,12.039959728717804,0.10033299773931503,0.09187669306993484,0.23486752954814283,Unspecified (Next Day Close vs Prev Close),0.23486752954814283
2003-04-30,2003,Q1,2003-05-08,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2003-05-07,16.05000078678131,0.13375000655651093,0.12247723340988159,2003-05-08,16.05996072292328,0.13383300602436066,0.12255316227674484,2003-05-09,21.36996030807495,0.17808300256729126,0.16307371854782104,0.3314614806988618,Unspecified (Next Day Close vs Prev Close),0.3314614806988618
2003-07-31,2003,Q2,2003-08-07,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2003-08-06,19.569960236549377,0.1630830019712448,0.1493379771709442,2003-08-07,19.299960136413574,0.16083300113677979,0.1472775936126709,2003-08-08,15.500040650367737,0.12916700541973114,0.11828051507472992,-0.2079676093420191,Unspecified (Next Day Close vs Prev Close),-0.2079676093420191
2003-10-31,2003,Q3,2003-11-06,pre-market,0.001,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2003-11-05,18.140040636062622,0.15116700530052185,0.138426274061203,2003-11-06,18.170040249824524,0.15141700208187103,0.1386551856994629,2003-11-07,21.750000715255737,0.18125000596046448,0.16597381234169006,0.1990051272225051,Unspecified (Next Day Close vs Prev Close),0.1990051272225051
2004-01-31,2004,Q4,2004-02-12,pre-market,0.003,0.001,0.002,200.0,,,,,,,,,,,,,,,,,,,,,2004-02-11,24.249960780143738,0.20208300650119781,0.18505094945430756,2004-02-12,23.519999384880066,0.19599999487400055,0.17948070168495178,2004-02-13,23.300040364265442,0.19416700303554535,0.17780211567878723,-0.039172097181323536,Unspecified (Next Day Close vs Prev Close),-0.039172097181323536
2004-04-30,2004,Q1,2004-05-06,pre-market,0.002,0.001,0.001,100.0,,,,,,,,,,,,,,,,,,,,,2004-05-05,21.72995924949646,0.18108299374580383,0.16582082211971283,2004-05-06,21.909960508346558,0.1825830042362213,0.16719447076320648,2004-05-07,22.080000042915344,0.18400000035762787,0.16849201917648315,0.01610893627605994,Unspecified (Next Day Close vs Prev Close),0.01610893627605994
2004-07-31,2004,Q2,2004-08-05,pre-market,0.002,0.001,0.001,100.0,,,,,,,,,,,,,,,,,,,,,2004-08-04,14.970000386238098,0.12475000321865082,0.1142357587814331,2004-08-05,14.55996036529541,0.12133300304412842,0.111106738448143,2004-08-06,9.429960250854492,0.0785830020904541,0.07195981591939926,-0.3700762643238556,Unspecified (Next Day Close vs Prev Close),-0.3700762643238556
2004-10-31,2004,Q3,2004-11-04,pre-market,0.002,0.001,0.001,100.0,,,,,,,,,,,,,,,,,,,,,2004-11-03,15.129960179328918,0.12608300149440765,0.11545640230178833,2004-11-04,15.410040020942688,0.1284170001745224,0.11759372800588608,2004-11-05,17.639999985694885,0.1469999998807907,0.13461045920848846,0.16589861215867327,Unspecified (Next Day Close vs Prev Close),0.16589861215867327
2005-01-31,2005,Q4,2005-02-17,pre-market,0.003,0.002,0.001,50.0,,,,,,,,,,,,,,,,,,,,,2005-02-16,25.739999413490295,0.21449999511241913,0.19642139971256256,2005-02-17,25.509960651397705,0.2125830054283142,0.19466596841812134,2005-02-18,28.26996088027954,0.23558300733566284,0.2157275378704071,0.09828938285796045,Unspecified (Next Day Close vs Prev Close),0.09828938285796045
2005-04-30,2005,Q1,2005-05-12,pre-market,0.006,0.002,0.004,200.0,,,,,,,,,,,,,,,,,,,,,2005-05-11,22.29996085166931,0.18583300709724426,0.1701705902814865,2005-05-12,22.790039777755737,0.18991699814796448,0.17391033470630646,2005-05-13,25.329959392547607,0.21108299493789673,0.19329242408275604,0.13587444083623798,Unspecified (Next Day Close vs Prev Close),0.13587444083623798
2005-07-31,2005,Q2,2005-08-11,pre-market,0.003,0.003,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2005-08-10,27.86004066467285,0.23216700553894043,0.21259941160678864,2005-08-11,28.250039219856262,0.23541699349880219,0.2155754119157791,2005-08-12,29.949960708618164,0.24958300590515137,0.22854748368263245,0.07501465763856593,Unspecified (Next Day Close vs Prev Close),0.07501465763856593
2005-10-31,2005,Q3,2005-11-09,pre-market,0.004,0.003,0.001,33.3333,,,,,,,,,,,,,,,,,,,,,2005-11-08,33.279958963394165,0.27733299136161804,0.25395867228507996,2005-11-09,34.77996110916138,0.2898330092430115,0.26540514826774597,2005-11-10,33.48996162414551,0.2790830135345459,0.25556111335754395,0.006309849780066489,Unspecified (Next Day Close vs Prev Close),0.006309849780066489
2006-01-31,2006,Q4,2006-02-16,pre-market,0.004,0.004,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2006-02-15,44.97995853424072,0.37483298778533936,0.34324124455451965,2006-02-16,47.19995856285095,0.39333298802375793,0.36018186807632446,2006-02-17,47.4699604511261,0.39558300375938416,0.36224228143692017,0.05535767389219576,Unspecified (Next Day Close vs Prev Close),0.05535767389219576
2006-04-30,2006,Q1,2006-05-11,pre-market,0.005,0.005,0.0,0.0,681807000.0,288757000.0,393050000.0,100685000.0,65668000.0,122404000.0,188072000.0,90676000.0,2161453000.0,1722627000.0,487763000.0,487763000.0,552802000.0,534386000.0,1608651000.0,23422200000.0,50396000.0,20667000.0,,29729000.0,2006-05-10,29.52000081539154,0.492000013589859,0.4505331218242645,2006-05-11,28.47000002861023,0.47450000047683716,0.43450799584388733,2006-05-12,26.32997989654541,0.43883299827575684,0.4018469452857971,-0.10806347897648687,Unspecified (Next Day Close vs Prev Close),-0.10806347897648687
2006-07-31,2006,Q2,2006-08-10,pre-market,0.0038,,0.0,,687500000.0,292100000.0,395400000.0,95800000.0,69100000.0,127300000.0,196300000.0,86800000.0,2184000000.0,1726000000.0,388000000.0,388000000.0,529000000.0,505000000.0,1654548000.0,57840000000.0,17900000.0,20111000.0,,-2211000.0,2006-08-09,24.329999685287476,0.40549999475479126,0.37132349610328674,2006-08-10,24.160019159317017,0.40266698598861694,0.36872923374176025,2006-08-11,23.399999141693115,0.38999998569488525,0.35712990164756775,-0.038224337012519476,Unspecified (Next Day Close vs Prev Close),-0.038224337012519476
2006-10-31,2006,Q3,2006-11-09,pre-market,0.007,0.006,0.001,16.6667,820572000.0,333942000.0,486630000.0,117613000.0,69100000.0,140732000.0,216329000.0,106511000.0,2183829000.0,1726289000.0,388423000.0,388423000.0,529281000.0,505044000.0,1654548000.0,23135340000.0,289318000.0,28786000.0,,260532000.0,2006-11-08,34.60002064704895,0.5766670107841492,0.5280641913414001,2006-11-09,35.29002070426941,0.5881670117378235,0.5385947823524475,2006-11-10,34.44000005722046,0.5740000009536743,0.5256216526031494,-0.00462545799980518,Unspecified (Next Day Close vs Prev Close),-0.00462545799980518
2007-01-31,2007,Q4,2007-02-13,pre-market,0.009,0.007,0.002,28.5714,878873000.0,385706000.0,493167000.0,138514000.0,84900000.0,162276000.0,247192000.0,163506000.0,2675263000.0,2031770000.0,544414000.0,544414000.0,668344000.0,638807000.0,2006919000.0,23940000000.0,230395000.0,75692000.0,,154703000.0,2007-02-12,33.370020389556885,0.5561670064926147,0.5092918276786804,2007-02-13,34.00002121925354,0.5666670203208923,0.5189069509506226,2007-02-14,33.55002164840698,0.5591670274734497,0.5120390057563782,0.005394113803512646,Unspecified (Next Day Close vs Prev Close),0.005394113803512646
