supplier,supplier_country,supplier_type,customer,customer_country,customer_type,product_service,category,criticality,share_pct,price_correlation_3m,is_sole_source,data_source
BT Group,GB,other,NVIDIA,US,chip_designer,Pan-Europe Mixed Telecommunications Services,other,,,,false,company-disclosure-rederived
AsiaInfo Technologies,CN,other,NVIDIA,US,chip_designer,Enterprise Management Software,other,,,,false,company-disclosure-rederived
Exscientia,GB,other,SoftBank Group Corp.,JP,investor,Outsourced Drug Services,other,,,,false,sec-edgar-rederived
Tata Consultancy Services,IN,other,Sap,IN,colocation_provider,Information Technology Consulting,other,,,,false,company-disclosure-rederived
Fortinet,US,other,NVIDIA,US,chip_designer,IT Infrastructure Software,other,,,,false,company-disclosure-rederived
HP,US,other,NVIDIA,US,chip_designer,Computer Systems,other,,,,false,company-disclosure-rederived
Nexon (Entertainment Software),JP,other,Tencent Holdings Ltd.,CN,ai_lab,Games Software,other,,,,false,company-disclosure-rederived
Docebo,CA,other,Snowflake,,other,Enterprise Management Software,other,,,,false,company-disclosure-rederived
Docusign,US,other,Sap,IN,colocation_provider,Enterprise Management Software,other,,,,false,company-disclosure-rederived
Docebo,CA,other,"Datadog, Inc.",US,other,Enterprise Management Software,other,,,,false,company-disclosure-rederived
AppViewX,US,other,Sap,IN,colocation_provider,Packaged Software,other,,,,false,company-disclosure-rederived
AppViewX,US,other,"Cloudflare, Inc.",US,other,Packaged Software,other,,,,false,company-disclosure-rederived
AppViewX,US,other,"MongoDB, Inc.",US,other,Packaged Software,other,,,,false,company-disclosure-rederived
Trainline,GB,other,Sap,IN,colocation_provider,Travel Arrangement and Reservation Services,other,,,,false,company-disclosure-rederived
Boston Consulting Group (Source AI Technology),,other,Sap,IN,colocation_provider,Miscellaneous Commercial Services,other,,,,false,company-disclosure-rederived
Informatica,US,other,Snowflake,,other,IT Infrastructure Software,other,,,,false,company-disclosure-rederived
Informatica,US,other,Snowflake,,other,Enterprise Management Software,other,,,,false,company-disclosure-rederived
Informatica,US,other,"MongoDB, Inc.",US,other,Enterprise Management Software,other,,,,false,company-disclosure-rederived
